epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8833,2.01549,3.94411,2.0448,0.00075,0.5,0.03109,0.02488,1.67194,4.1219,1.6278,1.667e-05,1.667e-05,1.667e-05
2,31.8728,1.73889,3.73984,1.75966,0.00076,0.5,0.16583,0.14925,1.49707,4.00396,1.5243,4.90198e-05,4.90198e-05,4.90198e-05
3,46.3528,1.56926,3.43394,1.61162,0.00078,0.5,0.4975,0.4975,1.38385,4.0209,1.47708,8.00493e-05,8.00493e-05,8.00493e-05
4,63.1688,1.39447,3.07735,1.44182,0.00085,0.5,0.4975,0.4975,1.35667,4.00131,1.44305,0.000109759,0.000109759,0.000109759
5,78.8638,1.36708,3.12101,1.40016,0.00227,0.75,0.4989,0.44789,1.30496,4.01591,1.39273,0.000138148,0.000138148,0.000138148
6,93.6214,1.42731,3.05027,1.42426,0.00223,0.75,0.49893,0.39888,1.25863,3.97218,1.27781,0.000165216,0.000165216,0.000165216
7,108.228,1.29938,2.25057,1.31888,0.00232,0.75,0.49894,0.44869,1.2692,3.82313,1.29949,0.000190965,0.000190965,0.000190965
8,124.358,1.20635,2.34094,1.24545,0.00245,0.75,0.49898,0.44861,1.31864,3.80245,1.33817,0.000215393,0.000215393,0.000215393
9,140.67,1.35438,2.19252,1.28784,0.00255,0.75,0.49901,0.39855,1.39939,3.81381,1.33024,0.000238501,0.000238501,0.000238501
10,160.043,1.24653,1.89311,1.25961,0.00265,0.75,0.49901,0.34881,1.61995,3.85408,1.4483,0.000260289,0.000260289,0.000260289
11,175.478,1.25188,1.85597,1.32956,0.0027,0.75,0.49902,0.349,1.49178,3.87555,1.41823,0.000280756,0.000280756,0.000280756
12,190.598,1.18773,1.86487,1.32997,0.00341,1,0.50271,0.34948,1.34253,3.83796,1.37259,0.000299903,0.000299903,0.000299903
13,208.254,1.08291,1.68595,1.17312,0.00248,0.75,0.49903,0.39861,1.19622,3.81492,1.31257,0.00031773,0.00031773,0.00031773
14,226.48,1.15515,1.89746,1.21593,0.00234,0.75,0.49908,0.44838,1.09634,3.77217,1.25369,0.000334237,0.000334237,0.000334237
15,242.69,1.06899,1.53059,1.11367,0.00224,0.75,0.49901,0.4485,1.12325,3.71899,1.19324,0.000349423,0.000349423,0.000349423
16,260.237,1.04695,1.60408,1.16584,0.00223,0.75,0.499,0.49825,1.10509,3.7418,1.20051,0.000363289,0.000363289,0.000363289
17,275.829,1.08659,1.7338,1.19883,0.00334,1,0.50245,0.44901,1.1172,3.72484,1.19893,0.000375835,0.000375835,0.000375835
18,293.276,1.17397,1.55155,1.24362,0.00337,1,0.50238,0.39909,1.29798,3.75972,1.29288,0.000387061,0.000387061,0.000387061
19,313.367,1.15944,1.68054,1.18971,0.00336,1,0.50248,0.39911,1.34255,3.7705,1.31513,0.000396966,0.000396966,0.000396966
20,335.731,1.15314,1.51481,1.19082,0.00333,1,0.5025,0.39911,1.33772,3.70327,1.29051,0.000405551,0.000405551,0.000405551
21,356.235,1.1096,1.58447,1.2111,0.00324,1,0.50213,0.39931,1.18284,3.62433,1.21104,0.000412816,0.000412816,0.000412816
22,377.451,1.04631,1.40949,1.18991,0.00326,1,0.50204,0.39975,1.06834,3.61483,1.18544,0.00041876,0.00041876,0.00041876
23,397.361,1.07031,1.41399,1.22174,0.00334,1,0.50217,0.39934,1.14946,3.56731,1.16129,0.000423385,0.000423385,0.000423385
24,414.713,0.98485,1.31786,1.13231,0.00342,1,0.50226,0.39948,1.19855,3.45588,1.13159,0.000426689,0.000426689,0.000426689
25,430.201,1.09885,1.27974,1.08752,0.77612,0.5,0.50224,0.34956,1.15288,3.46008,1.16975,0.000428672,0.000428672,0.000428672
26,451.434,0.88665,1.25125,1.12026,0.84147,0.5,0.49894,0.34911,0.97278,3.44738,1.13153,0.000429336,0.000429336,0.000429336
27,472.657,0.97345,1.44529,1.10796,0.9228,0.5,0.49892,0.34882,1.0939,3.39006,1.2177,0.000428679,0.000428679,0.000428679
28,491.904,1.01958,1.21301,1.09486,0.9228,0.5,0.49892,0.34882,1.0939,3.39006,1.2177,0.000426702,0.000426702,0.000426702
29,510.562,1.05103,1.19027,1.15978,0.94448,0.5,0.49984,0.3994,1.20017,3.35794,1.24217,0.000423405,0.000423405,0.000423405
30,527.815,0.83676,1.23702,1.07017,0.95441,0.5,0.50194,0.4008,1.2245,3.25432,1.23102,0.000418787,0.000418787,0.000418787
31,542.68,1.00301,1.15724,1.11675,0.95441,0.5,0.50194,0.4008,1.2245,3.25432,1.23102,0.000412849,0.000412849,0.000412849
32,557.634,1.00593,1.11255,1.0934,0.93596,0.5,0.50179,0.45045,1.17462,3.2997,1.23389,0.000405591,0.000405591,0.000405591
33,572.637,0.93774,1.2862,1.13678,0.88965,0.5,0.50184,0.49937,1.43442,3.31601,1.44222,0.000397013,0.000397013,0.000397013
34,587.746,0.94308,1.09077,1.03488,0.88965,0.5,0.50184,0.49937,1.43442,3.31601,1.44222,0.000387114,0.000387114,0.000387114
35,602.856,0.88255,1.17065,1.08582,0.88423,0.5,0.50183,0.49923,1.39119,3.215,1.45661,0.000375895,0.000375895,0.000375895
36,617.828,1.02906,1.12581,1.06325,0.91931,0.5,0.87,0.68375,1.30624,3.05357,1.36495,0.000363356,0.000363356,0.000363356
37,634.397,0.83768,1.2023,1.05804,0.91931,0.5,0.87,0.68375,1.30624,3.05357,1.36495,0.000349497,0.000349497,0.000349497
38,656.198,0.93352,1.14355,1.07858,0.93692,0.5,0.845,0.706,1.15495,2.96393,1.21755,0.000334317,0.000334317,0.000334317
39,677.407,1.02712,1.11311,1.08466,0.94944,0.5,0.845,0.691,1.04751,2.84917,1.12323,0.000317817,0.000317817,0.000317817
40,699.096,0.84678,1.14569,1.05367,0.94944,0.5,0.845,0.691,1.04751,2.84917,1.12323,0.000299997,0.000299997,0.000299997
41,723.392,0.93951,1.59263,1.1491,0.94636,0.5,0.995,0.74625,1.22764,2.81945,1.27136,0.000280856,0.000280856,0.000280856
42,743.785,0.93401,1.6887,1.20458,0.92841,0.5,0.995,0.72128,1.27107,2.80542,1.35757,0.000260395,0.000260395,0.000260395
43,770.116,0.77629,1.54993,1.02574,0.92841,0.5,0.995,0.72128,1.27107,2.80542,1.35757,0.000238614,0.000238614,0.000238614
44,791.413,0.85653,1.54244,1.09039,0.83534,0.5,0.995,0.69631,1.24733,2.72328,1.37245,0.000215513,0.000215513,0.000215513
45,814.483,0.82994,1.57548,1.11347,0.83534,0.5,0.995,0.69631,1.24733,2.72328,1.37245,0.000191092,0.000191092,0.000191092
46,834.028,0.83851,1.582,1.06869,0.83658,0.5,0.995,0.7209,1.18893,2.55369,1.35973,0.00016535,0.00016535,0.00016535
47,855.248,0.83297,1.49582,1.10437,0.83658,0.5,0.995,0.7209,1.18893,2.55369,1.35973,0.000138288,0.000138288,0.000138288
48,876.528,0.8504,1.59607,1.07492,0.81625,0.5,0.995,0.7209,1.0787,2.38523,1.27194,0.000109905,0.000109905,0.000109905
49,896.05,0.77385,1.56705,1.08155,0.81625,0.5,0.995,0.7209,1.0787,2.38523,1.27194,8.02027e-05,8.02027e-05,8.02027e-05
50,913.677,0.88682,1.58737,1.05765,0.79909,0.96355,0.995,0.74587,1.02368,2.27961,1.2381,4.91798e-05,4.91798e-05,4.91798e-05
